,imgIndex,x,y,type
2024-10-02T05:52:29,,132.84,598.26693,A
2024-10-02T17:30:54,,143.78704,595.17593,A
2024-10-03T05:23:17,,159.41204,592.86111,A
2024-10-03T17:02:29,,179.66667,588.81019,A
2024-10-04T04:52:53,,203.23265,586.58214,A
2024-10-04T16:32:05,,231.1398,582.76735,A
2024-10-05T04:22:29,,263.32449,578.58112,A
2024-10-06T02:22:29,,332.62806,573.74439,A
2024-10-06T14:12:05,,372.62806,572.62806,A
2024-10-07T01:52:29,,414.30153,571.79184,A
2024-10-07T13:42:29,,456.62551,571.32806,A
2024-10-08T01:22:53,,500.99949,571.32806,A
2024-10-08T13:12:05,,543.14082,572.16531,A
2024-10-09T01:02:29,,587.23572,573.00255,A
2024-10-09T12:52:29,,629.65204,573.46531,A
2024-10-10T00:32:05,,670.02347,575.88367,A
2024-10-10T12:22:29,,708.53469,577.55918,A
2024-10-11T00:02:29,,744.44082,580.0699,A
2024-10-11T11:52:53,,777.65255,582.675,A
2024-10-11T23:33:17,,807.13877,586.58112,A
2024-10-12T11:22:29,,833.83827,590.58163,A
2024-10-12T23:03:17,,856.81326,594.11633,A
2024-10-13T10:52:05,,873.65051,598.86071,A
2024-10-13T22:31:41,,887.60357,603.32602,A
